QUID,DWEIGHT_LIVE_FINAL,CS01,CS01_1,CS02,CS02_2,MTS01,MTS02,MTS03,MTS03_1,LMS01,LMS02,LMS02_1,LMS02_s,LMS03,LMS04,LMS05,LMS06,LMS07,LMS07_1,LMS07_2,LMS07_3a,LMS07_3b,LMS08,LMS08_s,LMS09a,LMS09b,LMS09c,LMS09d,LMS09e,LMS09f,LMS09g,LMS09f_s,SMS01a,SMS01b,SMS01c,SMS01d,SMS01d_s,SMS02,SMS03a,SMS03b,SMS03c,SMS03d,SMS04a,SMS04b,SMS04c,SMS04d,SMS04e,SMS04f,SMS04e_s,SMS05,MLA01,MLA02,MLA03,MLA03_1,MLA04,MLA04_1,LMA01,LMA02a_LS,LMA02b_LS,LMA02c_LS,LMA02d_LS,LMA02e_LS,LMA02f_LS,LMA02g_LS,LMA02h_LS,LMA02i_LS,LMA02j_LS,LMA02k_LS,LMA02l_LS,LMA02m_LS,LMA02n_LS,LMA02o_LS,LMA02p_LS,LMA02q_LS,LMA02r_LS,LMA02s_LS,LMA02f_1_LS,LMA02m_1_LS,LMA02q_1_LS,LMA02s_s_LS,LMA03a,LMA03b,LMA03c,LMA03d,LMA04a,LMA04b,LMA04c,LMA04d,LMA04e,LMA05a,LMA05b,LMA05c,LMA05d,LMA05d_1,SMA01,SMA02a,SMA02b,SMA02c,SMA02d,SMA03a,SMA03b,SMA03b_1,SMA04a,SMA04b,SMA04c,SMA04d,SMA04e,PLMA01,PLMA02a_LS,PLMA02b_LS,PLMA02c_LS,PLMA02d_LS,PLMA03a,PLMA03b,PLMA03c,PLMA03d,PLMA03e,PLMA04,PLMA05a,PLMA05b,PLMA05c,PLMA05d,PLMA05d_1,PSMA01,PSMA02a,PSMA02b,PSMA02c,PSMA02d,PSMA03a,PSMA03b,PSMA03c,PSMA03d,PSMA03e,PSMA04,PSMA05,MS04a,MS04b,MS04c,MS04b_s,MS04c_s,SECTORID,PLMA02a,PLMA02b,PLMA02c,PLMA02d,LMA02a,LMA02b,LMA02c,LMA02d,LMA03e,LMA04d_1,prov,ECO,prov_eco,mostcommonbe,mostcommonda,mostcommonpi,mostcommonpo
Q33061573,1.6344294,3,,,,1,1,1,3,1,2,,,2,2,422400,13,3,,,240,220,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,15,45,40,1,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,"robotic milking, bio link manure system",1,,,,,,,,,,,59,12,5912,,1,,
Q33061575,1.297969768,3,,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,3,,1,,,,,,1,1,,1,500,1,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,100,,,,,,1,3,,,,1,,seeding,2,,,,,,,,,,,48,10,4810,3,,,
Q33061590,1.283018868,3,,1,2,1,1,1,1,1,2,,,4,3,20000000,24,3,,,277,256,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,500,1,800,1,,,,,,1,,,,,,,,,,,,,,2,,,,5,5,45,45,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,GPS,1,,,,,,,,,,,35,4,3504,,1,,
Q33061601,3.858992252,,,1,5,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Manure bunker,,1,2,1,1,1,,,,,,,1,1,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,10,45,45,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"Ventilation, lighting, feed delivery",3,,,,,,,,,,,59,12,5912,,,,3
Q33061611,4.34787123,,,,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Barn Temp, Air quality, fans",GPS,3,,,,,,,,,,,59,12,5912,,,,3
Q33061641,6.261552568,3,,1,3,1,1,3,,3,4,,,,3,680000,16,2,,90,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,250,1,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,5,2405,,1,,
Q33061644,11.16956275,3,,1,1,1,1,3,,3,4,,,,3,1040000,24,2,,81,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,280,1,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,15,85,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,laliforci,1,,,,,,,,,,,24,1,2401,,1,,
Q33061647,3.765797323,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,barn ventilation and lighting,3,,,,,,,,,,,35,3,3503,,,,3
Q33061674,3.321760337,3,,1,2,1,1,1,1,3,2,,,,3,3300000,23,3,,,450,105,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,1,350,1,,,,,,1,,,,,,,,,,,,,,2,,,,100,0,0,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,activity monitors,"auto steer, milk anyalisis",1,,,,,,,,,,,35,4,3504,,1,,
Q33061681,3.406237771,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,100,,,,,1,,1,5,,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33061683,3.237875643,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,3,1,1,,,,,,1,1,,1,30,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,15,30,40,,1,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Robotic milking,1,,,,,,,,,,,59,12,5912,,1,,
Q33061697,10.24695251,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33061701,3.243351755,3,,,,1,3,3,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33061706,3.927731977,,,1,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,3,1,3,3,1,,,,,,,4,1,,,,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,100,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,6,4806,3,,,
Q33061715,2.230906495,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,3,1,,,,,,,2,1,,1,320,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,100,,,,1,,3,,1,1,,"remote monitoring, crop production",,2,,,,,,,,,,,46,9,4609,2,,,
Q33061723,2.861729218,,,3,,1,1,3,,1,4,,,2,3,2000000,12,3,,,120,12,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,490,2,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,,,,,10,90,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,35,3,3503,,1,,
Q33061732,20.65581493,1,1,1,1,1,3,3,,1,5,,,1,3,761,12,2,,63,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,333,1,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,0,35,45,1,,,,,1,,,1,,,,,,,,,,,,,,,1,1,1,vidéo pour vêlage,robot de traite,1,,,,,,,,,,,24,2,2402,,1,,
Q33061739,3.824292593,,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,consommation eau et aliment,"collection d'oeufs, ventillation, éclairage et alimentation",3,,,,,,,,,,,24,2,2402,,,,6
Q33061755,1.191138644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Feedwatch,"Contrôle lactanet,",1,,,,,,,,,,,24,2,2402,,99,,
Q33061765,3.277414643,3,,,,1,1,1,3,1,2,,,2,3,1300000,14,3,,,270,130,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,30,70,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,GPS and autostart on tractors,1,,,,,,,,,,,35,4,3504,,1,,
Q33061783,3.961630923,1,1,1,2,1,1,3,,1,5,,,4,3,3700000,12,2,,200,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,300,1,700,2,,,,,,1,,,,,,,,1,,,1,,,2,,3,,30,0,30,40,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cameras,Wind speed on fans,1,,,,,,,,,,,35,3,3503,,1,,
Q33061786,27.18013029,3,,1,4,1,1,3,,1,7,,contrete slab,3,3,,4,1,100,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,35,3,3503,1,,,
Q33061798,3.503134064,3,,3,,1,1,3,,3,4,,,,3,1238000,12,2,,128,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,485,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,45,55,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,robotique,1,,,,,,,,,,,24,1,2401,,1,,
Q33061808,6.281207202,3,,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,3,,,,,,1,,2,1,,1,100,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,ventilateur,1,,,,,,,,,,,24,5,2405,,1,,
Q33061818,1.191138644,1,1,1,5,1,1,1,1,1,4,,,3,3,2000000,14,2,,124,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,250,1,600,3,,,,,,1,,,,,,,,1,,,,,,1,,,,,,50,50,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"robotique laitiers, controle alimentation",1,,,,,,,,,,,24,2,2402,,1,,
Q33061841,1.507524537,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33061843,3.809624805,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,24,2,2402,,,,3
Q33061844,2.735848495,3,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,3,3,,,,,,1,,1,1,,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10,65,20,1,,,,,3,,1,1,,livestock video surveillance,,1,,,,,,,,,,,59,12,5912,,1,,
Q33061855,4.606703901,,,1,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,3,3,,,,,,1,,2,1,,,,1,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,100,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"in barn, lights, ventilation, heat, alarm systems",3,,,,,,,,,,,12,1,1201,,,,3
Q33061857,2.936096231,3,,,,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,2,,,1,,1,,Penergetic K was added to help compost,1,1,,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,80,20,,1,,,,3,,1,1,1,"video surveillance, barn air quality, feed and water consumption","venting ,lighting and feeding",3,,,,,,,,,,,59,12,5912,,,,4
Q33061861,1.507524537,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33061874,3.395988973,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,59,11,5911,2,,,
Q33061882,3.445428497,,,1,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,3,3,3,1,,,,,,,2,1,,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"computer monitored feed, water, ventilation","egg packer, computers, drone, gps",3,,,,,,,,,,,46,9,4609,,,,2
Q33061891,4.382735714,3,,1,5,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Storage shed,,1,1,1,1,,,,,,1,,2,1,,3,,1,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,0,25,50,,1,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,35,3,3503,,,,3
Q33061908,3.192300136,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,3,3,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,46,9,4609,,,,4
Q33061913,3.836647215,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,1,3,,,,,1,,seche,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,collection d'oeuf,3,,,,,,,,,,,24,2,2402,,,,2
Q33061917,10.48351071,1,5,1,5,1,1,3,,3,4,,,,3,490000,12,2,,100,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,1,80,5,,,,,,1,,,,,,,,,,,,,,2,,,,50,,50,,1,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Milking robot,1,,,,,,,,,,,35,3,3503,,1,,
Q33061926,5.276896371,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,48,6,4806,3,,,
Q33061933,5.491211304,3,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,100,1,,,,,3,,1,,,,,2,,,,,,,,,,,48,6,4806,3,,,
Q33061946,2.796900526,,,1,5,1,1,3,,3,4,,,,3,350000,12,2,,80,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,300,5,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,3,,,50,,50,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,35,4,3504,,,2,
Q33061968,5.894662086,,,1,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,3,3,,,,,,1,,1,1,,,,1,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50,0,50,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"water, temp, humidity in barn, video survellance",,3,,,,,,,,,,,35,4,3504,,,,3
Q33061987,3.332903322,3,,1,1,1,1,3,,3,5,,,,3,0,0,1,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,395,1,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,0,58,15,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,"Alimentation, ventilation et éclairage",1,,,,,,,,,,,24,5,2405,,1,,
Q33062008,4.149845011,3,,,,1,3,3,,1,2,,,3,2,5000000,12,3,,,100,300,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,15,25,45,1,,,,,2,,,1,1,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33062010,3.252352732,1,1,,,1,1,3,,3,2,,,,2,800000,12,3,,,110,110,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,20,40,30,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,59,12,5912,,1,,
Q33062064,8.891407307,,,1,4,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,100,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"video surveillance, drone checking of cattle and grazing",GPS field operations,2,,,,,,,,,,,48,7,4807,3,,,
